"PACIFIC Exchange Rate Service"
"ISO4217","Jul.Day","YYYY/MM/DD","Wdy","Data"
"CAD/USD",2460389,"2024/03/19","Tue",1.3581
"CAD/USD",2460390,"2024/03/20","Wed",1.3559
"CAD/USD",2460391,"2024/03/21","Thu",1.3525
"CAD/USD",2460392,"2024/03/22","Fri",1.3593
"CAD/USD",2460395,"2024/03/25","Mon",1.3583
"CAD/USD",2460396,"2024/03/26","Tue",1.3572
"CAD/USD",2460397,"2024/03/27","Wed",1.3587
"CAD/USD",2460398,"2024/03/28","Thu",1.3550
"CAD/USD",2460402,"2024/04/01","Mon",1.3574
"CAD/USD",2460403,"2024/04/02","Tue",1.3572
"CAD/USD",2460404,"2024/04/03","Wed",1.3537
"CAD/USD",2460405,"2024/04/04","Thu",1.3504
"CAD/USD",2460406,"2024/04/05","Fri",1.3598
"EUR/USD",2459948,"2023/01/03","Tue",0.94716
"EUR/USD",2459949,"2023/01/04","Wed",0.94284
"EUR/USD",2459950,"2023/01/05","Thu",0.94900
"EUR/USD",2459951,"2023/01/06","Fri",0.94341
"EUR/USD",2459954,"2023/01/09","Mon",0.93115
"EUR/USD",2459955,"2023/01/10","Tue",0.93156
"EUR/USD",2459956,"2023/01/11","Wed",0.92997
"EUR/USD",2459957,"2023/01/12","Thu",0.92396
"EUR/USD",2459958,"2023/01/13","Fri",0.92423
"EUR/USD",2459961,"2023/01/16","Mon",0.92438
"EUR/USD",2459962,"2023/01/17","Tue",0.92504
"EUR/USD",2459963,"2023/01/18","Wed",0.92421
"EUR/USD",2459964,"2023/01/19","Thu",0.92451
"EUR/USD",2459965,"2023/01/20","Fri",0.92272
"EUR/USD",2459968,"2023/01/23","Mon",0.92061
"EUR/USD",2459969,"2023/01/24","Tue",0.91960
"EUR/USD",2459970,"2023/01/25","Wed",0.91752
"EUR/USD",2459971,"2023/01/26","Thu",0.91904
"EUR/USD",2459972,"2023/01/27","Fri",0.92049
"EUR/USD",2459975,"2023/01/30","Mon",0.92003
"EUR/USD",2459976,"2023/01/31","Tue",0.92088
"EUR/USD",2459977,"2023/02/01","Wed",0.91560
"EUR/USD",2459978,"2023/02/02","Thu",0.91523
